Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Enes Kanter,37:04,9,16,.563,0,0,,6,8,.750,12,18,30,2,1,2,4,2,24,+19
Damian Lillard,34:23,9,20,.450,4,8,.500,5,6,.833,0,3,3,10,0,0,1,1,27,+20
Norman Powell,32:24,2,10,.200,1,5,.200,4,4,1.000,0,3,3,1,0,2,5,3,9,0
Robert Covington,31:42,1,3,.333,1,2,.500,0,0,,0,1,1,0,2,1,2,2,3,+4
CJ McCollum,30:34,11,21,.524,3,8,.375,1,1,1.000,0,4,4,3,0,1,0,0,26,+4
Nassir Little,23:55,5,5,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,4,11,+15
Carmelo Anthony,19:13,4,9,.444,2,3,.667,1,1,1.000,1,3,4,1,1,1,0,2,11,+9
Derrick Jones,17:45,2,3,.667,1,1,1.000,0,0,,1,3,4,0,1,1,1,2,5,+13
Rondae Hollis-Jefferson,7:24,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,4,1,-6
Harry Giles,1:52,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-1
Anfernee Simons,1:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
CJ Elleby,1:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
